Date,ACVA,AKTX,ARKO,BKR,BNZI,BRKL,CTOR,C^N,DAVE,DUOT,DVA,EOT,EVE,EWBC,FLGT,FMAO,FWRG,GIFI,GMM,GODNR,IVZ,KAPA,LFUS,LGCB,MITQ,MRVI,NABL,NAMS,NARI,NHTC,NVA,NVNI,O,PAG,PDCO,PSA,RFAI,RUM,SAVA,SCL,SGLY,SHYF,TRNR,TUYA,URGN,UZD,VLYPN,WT,XNCR,Z
2014-01-02,,,,29.14461326599121,,6.403425216674805,,,,,64.77999877929688,11.062685012817383,,27.051374435424805,,8.249019622802734,,20.831758499145508,,,22.752155303955078,,82.02921295166016,,,,,,,1.2999862432479858,,,21.91083526611328,36.445228576660156,28.18000602722168,97.96479797363281,,,32.83000183105469,56.44403839111328,128.0,5.941448211669922,,,,,,13.404205322265625,8.880000114440918,
2014-01-03,,,,28.885894775390625,,6.403425216674805,,,,,64.47000122070312,11.158361434936523,,27.20075225830078,,8.58495044708252,,20.97308921813965,,,22.910724639892578,,83.13690185546875,,,,,,,1.2390493154525757,,,22.13377571105957,36.24262237548828,28.546049118041992,98.7277603149414,,,33.810001373291016,56.2360725402832,132.0,5.93259334564209,,,,,,13.924601554870605,9.149999618530273,
2014-01-06,,1600.0,,28.783477783203125,,6.37629508972168,,,,,64.80000305175781,11.271981239318848,,26.933462142944336,,8.528963088989258,,21.039045333862305,,,23.069299697875977,,81.40785217285156,,,,,,,1.2106120586395264,,,22.251102447509766,35.75948715209961,28.28360939025879,98.67513275146484,,,33.66999816894531,56.123435974121094,135.5,5.93259334564209,,,,,,13.703826904296875,9.0600004196167,
2014-01-07,,1900.0,,28.454679489135742,,6.403425216674805,,,,,65.19999694824219,11.26600170135498,,27.114276885986328,,8.528963088989258,,21.755102157592773,,,23.272268295288086,,82.8216781616211,,,,,,,1.251237154006958,,,22.362558364868164,35.8841667175293,28.718734741210938,98.5633316040039,,,34.29999923706055,56.10609436035156,133.0,5.976866722106934,,,,,,14.279417037963867,9.229999542236328,
2014-01-08,,1900.0,,28.142045974731445,,6.3966474533081055,,,,,65.44000244140625,11.30786418914795,,27.00421142578125,,8.47297191619873,,22.075448989868164,,,23.17078399658203,,83.0558090209961,,,,,,,1.2593613862991333,,,22.10443878173828,35.81403350830078,28.6077880859375,98.7409439086914,,,34.439998626708984,55.69884490966797,133.0,5.95030403137207,,,,,,13.680169105529785,9.619999885559082,
2014-01-09,,1900.0,,27.93182945251465,,6.403425216674805,,,,,65.63999938964844,11.325800895690918,,27.02779769897461,,8.491637229919434,,21.95296287536621,,,22.859981536865234,,83.51507568359375,,,,,,,1.1903002262115479,,,22.16310691833496,35.5101203918457,28.62859535217285,100.66138458251953,,,35.560001373291016,55.53422164916992,133.0,6.0034308433532715,,,,,,13.7669038772583,9.75,
2014-01-10,,1970.0,,28.60021209716797,,6.471261024475098,,,,,64.73999786376953,11.415494918823242,,26.846986770629883,,8.416987419128418,,21.89643096923828,,,22.739471435546875,,84.10044860839844,,,,,,,1.1781126260757446,,,22.620662689208984,35.377647399902344,28.39286231994629,101.45721435546875,,,36.81999969482422,55.19628143310547,137.0,5.90602970123291,,,,,,13.333239555358887,9.609999656677246,
2014-01-13,,1960.0,,28.3253173828125,,6.450911998748779,,,,,64.47000122070312,11.373642921447754,,26.587553024291992,,8.491637229919434,,21.651464462280273,,,22.232027053833008,,82.29937744140625,,,,,,,1.141550064086914,,,22.4622745513916,34.489322662353516,28.08777618408203,101.25990295410156,,,35.90999984741211,54.91033935546875,132.5,5.684663772583008,,,,,,13.467284202575684,9.25,
2014-01-14,,2180.0,,28.58942985534668,,6.4576945304870605,,,,,64.97000122070312,11.367661476135254,,27.153573989868164,,8.491637229919434,,22.216773986816406,,,22.33986473083496,,84.97394561767578,,,,,,,1.564045786857605,,,22.696937561035156,35.19842529296875,28.344318389892578,102.42401885986328,,,35.84000015258789,54.99699020385742,134.0,5.808629989624023,,,,,,13.199198722839355,8.949999809265137,
2014-01-15,,2200.0,,28.83737564086914,,6.5051798820495605,,,,,64.4800033569336,11.391578674316406,,27.192888259887695,,8.42071533203125,,21.943544387817383,,,22.492095947265625,,84.97394561767578,,,,,,,1.5437331199645996,,,22.74387550354004,33.81137466430664,28.42059326171875,101.97020721435547,,,30.729999542236328,55.612205505371094,132.0,5.8794684410095215,,,,,,13.877290725708008,9.789999961853027,
2014-01-16,,2200.0,,28.96135139465332,,6.4576945304870605,,,,,64.6500015258789,11.391578674316406,,27.012065887451172,,8.47297191619873,,21.519556045532227,,,22.32718276977539,,84.07342529296875,,,,,,,1.5843584537506104,,,22.620662689208984,34.02177047729492,28.56619644165039,102.60819244384766,,,32.130001068115234,55.30892562866211,135.5,5.976866722106934,,,,,,13.86940860748291,9.630000114440918,
2014-01-17,,2200.0,,29.182348251342773,,6.44412899017334,,,,,64.83000183105469,11.421478271484375,,27.373699188232422,,8.484171867370605,,21.293432235717773,,,22.206661224365234,,83.88433074951172,,,,,,,1.564045786857605,,,22.532670974731445,34.0919189453125,28.413660049438477,101.92420196533203,,,32.970001220703125,54.893001556396484,145.0,5.968012809753418,,,,,,13.585553169250488,9.710000038146973,
2014-01-21,,2200.0,,30.57839584350586,,6.511961460113525,,,,,65.23999786376953,11.439412117004395,,28.09695816040039,,8.484171867370605,,21.613780975341797,,,22.225690841674805,,83.28095245361328,,,,,,,1.4421718120574951,,,23.054771423339844,34.395809173583984,28.656326293945312,101.963623046875,,,31.5,54.78035354614258,146.5,5.968012809753418,,,,,,13.979798316955566,8.949999809265137,
2014-01-22,,2200.0,,30.6053524017334,,6.511961460113525,,,,,66.48999786376953,11.47305679321289,,28.623680114746094,,8.935818672180176,,21.660884857177734,,,22.739471435546875,,84.46064758300781,,,,,,,1.4096726179122925,,,23.195571899414062,34.51270294189453,28.77420425415039,102.15436553955078,,,30.309999465942383,55.38691329956055,140.0,5.9591569900512695,,,,,,14.421344757080078,8.710000038146973,
