Ticker,Sharpe Ratio
GNE,1.693462725668565
TDW,1.6624381639257044
MCK,1.6238434763508445
SMCI,1.573638877404499
VIST,1.5557994233648682
TLSIW,1.5019712946240227
CAH,1.4807030937939887
TNK,1.4551110625859236
LLY,1.433792668696113
TRMD,1.4197966437370415
AMR,1.4152649881848778
LMB,1.4141475804522345
MOD,1.4133701687314846
STNG,1.3765404199214744
HNRG,1.3709011951126984
CEIX,1.3649538149235445
BELFB,1.3621431813455134
BELFA,1.3585533482959593
ACGL,1.3452445056242408
CWCO,1.338456040225734
ELF,1.313822208834497
LPG,1.3112298855810314
FTI,1.3061447917997429
ASC,1.2836644684860825
FICO,1.2785842797807863
WFRD,1.2758682582917467
VRTX,1.2491304107486079
MPC,1.2320802434957328
INSW,1.2224713288587843
NRP,1.2186347000486017
RCMT,1.2136137202017065
NLSPW,1.2122395432211104
MUSA,1.2089991548641392
RMBS,1.1970731224129727
ATI,1.1832742898716957
SVRA,1.1730342758157253
POWL,1.1677203264888234
CECO,1.1436783865264173
PBF,1.11066340343708
AMPH,1.1038553226299883
CSPI,1.0967985792961927
MLTX,1.085508468558714
STRL,1.0841128364152142
NAMSW,1.083148635043966
BWLP,1.0722700971473638
ESOA,1.0653642339013925
TEN,1.0651266039267608
EDU,1.0553918172370484
CLS,1.0492751929697088
IMVT,1.0413112369930548
HLX,1.0308203961832727
JBL,1.02958735367843
FRO,1.0278173411200695
UFPT,1.019036591623069
CAAP,1.0175476025947487
HURN,1.012204690971521
SMHI,1.0104161435225416
YPF,0.9949296192694925
HDSN,0.9917833906674092
COR,0.9910542402740327
ARDX,0.9882972516242499
ARLP,0.967776669411836
FIX,0.9561615569978822
LIXTW,0.9502959581241752
PSN,0.9472334023632368
HRB,0.9465096737002355
HCC,0.9453771023479697
HPKEW,0.9452120607070503
ADMA,0.9411367836586725
TK,0.9408288836896735
BBLGW,0.9401742034164223
PARR,0.9343979704051719
PGR,0.9327107627872774
VRNA,0.9324214904141324
WINA,0.9320482842072321
GIFT,0.9270977243034062
NVO,0.9259995274327544
SYM,0.9232228151401426
VST,0.9169507068986053
SGML,0.9164602393512108
LOPE,0.9109194385766257
INDV,0.8980210783968727
PBT,0.8927748602009206
APCX,0.8921593315218312
GWW,0.8822824924890369
LWAY,0.8800060032289337
CRS,0.8788566004289008
TH,0.8779557046760652
ACLS,0.8765045936716842
MTR,0.8744245027323995
AJG,0.8728195469750344
USAC,0.8717541124268393
ARCO,0.8673600701403428
OPXS,0.8667983585429477
VIRC,0.8666203682886159
NR,0.8656657306686646
SOWG,0.8544512358487567
EME,0.853503807131272
LW,0.8525192897302456
TAYD,0.8523975348203305
VAL,0.8509106765494953
BORR,0.850857347148205
FTAI,0.8484839681550276
CABA,0.8473768695550707
PAM,0.8431952296033217
THR,0.8419827317014786
CW,0.8413047275397332
LNTH,0.8405547029823477
KLXE,0.837903201813373
OXY,0.8378816009161784
TAL,0.8377396708477337
EXEEL,0.8343053766468055
DAKT,0.8337567242063645
AVGO,0.8294220160497495
ZEUS,0.827160944446167
KGEI,0.8254720508712349
COCO,0.8252808499922626
AIR,0.8248355964105158
PRDO,0.8238350413476097
KNSL,0.8185313220010014
NAT,0.8158856981506262
OBE,0.8154330529824511
UGP,0.8153331690174106
ELTK,0.81531678548596
KOF,0.8128995368364429
NECB,0.8119283995524089
RS,0.8071536476294453
SBS,0.8058463871282906
XOM,0.8057007497657601
RYTM,0.8056583611556215
GASS,0.804428310623303
ACIC,0.7998205795101284
NE,0.7980351204413312
RAVE,0.7973528262353131
ORLY,0.7973157615119407
BLDR,0.7965934764392727
DRS,0.7952338107598623
TRAK,0.7906898794233538
UNM,0.7880546407441706
EQT,0.7870126855437285
HES,0.7866694483115765
NUVL,0.7850141440806884
RXST,0.7838051998121078
AGYS,0.7833676136776788
JAKK,0.7824109996028696
TMDX,0.7795595491419535
VSSYW,0.7793635764010706
IMO,0.7785467193534916
BRBR,0.7778540578509962
AIMD,0.775378769887976
AFL,0.773203807927164
AMPY,0.7731731317338335
LNG,0.7716297787480048
LIDRW,0.7711358832256175
BTU,0.7704818433715334
DATSW,0.7648999919809419
SFM,0.7605346785599072
AROC,0.7605108525172055
XPO,0.7590943832770325
PLPC,0.7567111424037837
RIG,0.7527958252191901
BWMN,0.7486232260720888
CMBT,0.7457288275040506
GLNG,0.7446774609815838
BGLC,0.7444154708943861
ENLC,0.7420767339534468
EXEEZ,0.7415349161495779
SOHOO,0.7382431563715826
ODC,0.7378980012911404
HWM,0.7371236550251791
HWKN,0.7358758998277136
BHRB,0.7352813221056584
ATXG,0.7349318570743971
CNQ,0.7303521052271602
ATGE,0.7295408677142382
PR,0.7293728766364571
TGS,0.7293457794687489
KOS,0.7288118286498246
NEU,0.7248223142145392
AIT,0.7237327376077527
PHM,0.7208062305972979
PROP,0.7195188505933698
MIRM,0.7192470462866478
