Ticker,Undervalue Score
GPJA,75.12986350043647
SLVM,71.40060825201756
TY,60.265453548313566
ZVSA,58.10131866060977
OC,57.62255725062191
BHFAM,56.45059511282544
PAXS,56.24931916728638
MO,51.483758049930216
DLHC,48.54825489149693
GLDD,47.83262320845274
SUZ,46.34225448369933
APT,44.37986254519465
VNCE,43.77902560903436
ACGLO,43.735043235207556
CARS,42.92009381387095
NAT,41.85796479442151
HPF,41.4660950945808
AWX,40.24883440612992
PDX,39.56115664019272
GOGO,33.65404974203873
AGO,32.67712847030004
RFI,31.194931807284537
PFLT,29.53969901153512
WSO,27.88372294852221
GVA,26.390049145189025
PCN,25.795000484968998
RDN,25.202204054135137
PFX,24.76169298934156
GIL,24.70857100348358
DFP,23.567984366159145
UAN,23.340425900043364
MS,22.977585620359868
NNY,21.712816032155462
CI,20.302127510422146
STRA,19.398990870170117
BH,18.922258663970986
COP,18.75279238285758
JEQ,17.86310057167158
BWEN,16.785587971105713
CRH,16.571140818266745
CIA,14.979715487625207
FGBI,14.878955049541265
MDLZ,11.463917613067885
BXMX,11.30966544179532
ETB,9.301000111907648
ESHA,9.194548529805562
TSAT,8.31893909905313
NR,7.902164053476725
ATLC,7.674221334472209
NIE,5.715249111694715
COKE,4.842035092257635
EMBC,4.661101829005582
EMD,4.412285830239587
GRMN,4.159194773192546
DLO,2.4691281460496928
NCA,2.3044276387283595
INGM,1.6571348113882403
FBIN,1.0774872529977984
ATS,-0.5706329309656061
TTEK,-1.4058366902066632
GECC,-3.9171422887733454
BCSF,-6.4950674794092
CPAC,-8.066463145393715
NVDA,-9.051685829654025
OLPX,-11.001442626144389
BKTI,-17.79697966474928
XOMAP,-21.257916530767872
SYY,-23.881950203683306
ARKO,-26.29839374820351
LVS,-35.19500398308815
AVO,-37.05079823881681
LEVI,-44.31755545108761
TFSL,-48.228773809393054
CLMB,-51.28199532079836
PTMN,-56.5207844679805
PLXS,-60.168025889771506
WMT,-61.802606570274335
SBT,-64.66870165697733
YYGH,-72.00848924413066
NAD,-72.63039619808437
NPV,-73.71357440124477
SPHL,-74.07950772254061
MU,-118.28969274662676
NEA,-278.2622583012431
GLW,-326.1325935755557
ASPN,-494.2817420354234
BILL,-1100.4079350358868
