Ticker,Growth,Date
A,-0.3222337743169378,2000-04-03
A,-0.26432029023562037,2000-05-08
A,-0.37631820748137407,2000-07-10
A,-0.23399997017265986,2001-02-12
A,-0.30521853525281045,2003-01-27
A,-0.20509160400490656,2008-09-29
AA,-0.3459821971875733,1987-10-12
AA,-0.415280543268524,2008-09-29
AA,-0.20254208639328844,2008-10-13
AA,-0.22140224261260394,2008-11-10
AA,-0.24256484901468459,2008-11-24
AA,-0.20620048039898917,2020-02-24
AA,-0.27338776007963894,2020-03-02
AA,-0.31500004220526906,2020-03-09
AA,-0.23242558473613883,2022-04-11
AACG,-0.3914634745799306,2008-11-03
AACG,-0.2260870231754656,2009-01-05
AACG,-0.22279791475679953,2010-01-18
AACG,-0.36400011095435036,2012-06-04
AACG,-0.6770833014268945,2018-08-20
AACG,-0.22674417395795488,2018-09-03
AACG,-0.23595509229924086,2019-04-15
AACG,-0.32163746155326217,2020-07-13
AACG,-0.307881777738211,2021-04-05
AACG,-0.24697341188407476,2021-07-19
AACG,-0.2325581218050005,2021-11-22
AACG,-0.2765151929072643,2022-01-03
AADI,-0.7364706002029718,2019-03-11
AADI,-0.24153846349471655,2019-09-30
AADI,-0.5555555555555556,2020-12-07
AADI,-0.22480620878938304,2022-01-10
AADI,-0.2051557720904919,2023-02-27
AADI,-0.5282258273845655,2023-12-04
AAL,-0.2456778164160548,2008-03-03
AAL,-0.4641024804679128,2008-05-12
AAL,-0.30582526357685197,2008-06-02
AAL,-0.22222213301615223,2008-06-16
AAL,-0.22629576484911731,2008-09-15
AAL,-0.29121725743903704,2008-09-29
AAL,-0.2238658067760036,2008-10-27
AAL,-0.27191877815552346,2008-11-03
AAL,-0.2181499214997199,2008-11-10
AAL,-0.2749364566575125,2009-01-19
AAL,-0.3431579795876795,2009-02-09
AAL,-0.24210528557555244,2009-02-23
AAL,-0.248407540198898,2009-03-09
AAL,-0.2146068678789689,2012-02-13
AAL,-0.3152408538449873,2020-02-17
AAL,-0.2746331369626227,2020-03-09
AAL,-0.33119655492624067,2020-03-23
AAL,-0.22624999284744263,2020-06-15
AAME,-0.2199999404066903,1987-10-05
AAME,-0.2307692349671249,1987-10-12
AAME,-0.21527782950807034,1988-09-19
AAME,-0.2500001496483563,1990-08-13
AAME,-0.2307691237229186,1991-08-26
AAME,-0.3846152744206515,1991-11-18
AAME,-0.2500001496483563,1991-12-16
AAME,-0.21739112329874516,1992-04-27
AAME,-0.2727273210984554,1992-07-27
AAME,-0.21052629515467208,1993-05-31
AAME,-0.2222222222222222,1993-06-21
AAME,-0.2999999255083708,1993-10-11
AAME,-0.20416678629296556,2002-01-28
AAME,-0.22413798243965358,2002-08-19
AAME,-0.21917800314645813,2002-10-14
AAME,-0.2286996363642437,2007-11-12
AAME,-0.2164179178559119,2008-09-29
AAME,-0.32380957508736613,2008-11-03
AAME,-0.48333338691113514,2008-11-17
AAME,-0.2818180724333232,2008-12-01
AAME,-0.2134832392709595,2009-02-09
AAME,-0.20312514614097416,2009-02-23
AAME,-0.4078948600521109,2009-03-23
AAME,-0.22137421206778535,2009-12-07
AAME,-0.20264310429454763,2019-10-28
AAME,-0.36140352163583883,2021-03-15
AAME,-0.23676011915138467,2021-12-20
AAOI,-0.22631910804469477,2014-11-03
AAOI,-0.2673830356406545,2016-04-11
AAOI,-0.2042742815495157,2017-03-27
AAOI,-0.33153974666683717,2017-07-24
AAOI,-0.22533848059208234,2018-08-27
AAOI,-0.2463325511183405,2018-09-17
AAOI,-0.2083332875378014,2020-02-17
AAOI,-0.30489190443337044,2020-03-02
