Ticker,Growth,Date,P/E Ratio
A,0.5540201683221251,1999-12-20,77.76216914899481
A,0.2437810240360064,2000-02-07,152.48110722600615
A,0.3148150185250633,2000-02-28,218.48039396966112
A,0.2576921824270491,2000-05-22,108.03265718636533
A,0.387692575961928,2000-08-07,72.94291757813953
A,0.2012675721081258,2000-11-06,36.14174897996142
A,0.221581990215691,2001-04-02,78.19927638641386
A,0.32246313224858,2002-11-11,-16.48281514054945
AA,0.241206210215405,2020-03-30,-3.5262850268679906
AA,0.232732688393262,2020-05-11,15.060433498773133
AA,0.3105317189350914,2020-05-25,20.826818119314797
AA,0.2165980956838916,2021-10-04,25.23758654096072
AA,0.2430055741284417,2023-12-04,-26.200353707719543
AACG,0.2652124337874221,2008-03-24,1.519395169190368
AACG,0.3598726438389164,2008-05-12,-3.609581341808322
AACG,0.2197160076409154,2008-07-14,-3.4400227672301114
AACG,0.2625252343359679,2008-11-10,2.2396685158893206
AACG,0.3689022630785535,2009-01-26,0.8773174308126247
AACG,0.2525001535658168,2009-04-20,-1.1984467951219473
AACG,0.2086513343671554,2009-06-15,-2.35494837832095
AACG,0.2869319005584317,2010-03-01,-1.0546331307781276
AACG,0.572687231872461,2011-02-14,-0.42388785717099214
AACG,0.308176171303877,2012-06-11,3.581024347779585
AACG,0.3861384726569633,2012-12-10,4.721342879820635
AACG,0.2368422042520551,2014-12-22,1.9262680669667605
AACG,0.2101616402772911,2015-11-09,-1.3370287088294683
AACG,0.332425049663208,2017-05-29,-0.29953360385097816
AACG,0.260869683525348,2018-01-29,0.4181714661150093
AACG,0.316483449035682,2018-07-30,-0.22249088289094512
AACG,6.397852847475364,2018-08-27,-0.10611103896673406
AACG,1.5,2019-04-01,-3.2247662044501775
AACG,0.2983425297924441,2019-04-29,-5.836826645532219
AACG,0.2274881720085048,2019-06-10,-6.804256353098437
AACG,0.3255813566654556,2020-06-01,-2.450142490897763
AACG,0.2105263058828844,2020-06-15,-2.7065526725899463
AACG,3.8320612215258136,2021-01-25,-1.877059668691132
AACG,0.3322581424177275,2021-07-12,14.818355184668109
AACG,1.4672896967193272,2021-12-27,-2.548225892955674
AACG,0.2118644161972295,2022-03-07,-34.005762177173274
AACG,0.2265625683940031,2022-07-11,-3.6550541730147645
