Ticker,Growth,Date,P/E Ratios
AAOI,-0.2191111246744791,2014-04-30,3125.0
AAOI,-0.2080950126482474,2014-07-22,186.6174018246004
AAOI,-0.2014482916704048,2014-10-02,148.0506781713772
AAOI,-0.2726146087311664,2014-10-31,157.3099355716222
AAOI,-0.2069785668309038,2014-11-20,122.90448008457355
AAOI,-0.2114537263971445,2015-11-03,126.34508537523674
AAOI,-0.2549268526321533,2016-04-08,-204.55135945690935
AAOI,-0.2419642932408927,2016-04-29,-145.64369062763507
AAOI,-0.2538410235772877,2017-03-27,74.21913865656326
AAOI,-0.34588905349545,2017-07-26,69.23238845862633
AAOI,-0.2089853932334729,2017-10-04,62.49211388556865
AAOI,-0.2130675841796417,2018-07-16,122.2864275601641
AAOI,-0.2010729915244667,2018-08-24,107.71356515548935
AAOI,-0.2091084154569867,2018-09-19,78.34170930948689
AAOI,-0.2446808500359198,2018-12-10,-105.11181986750887
AAOI,-0.208568881332386,2019-02-25,-38.694451543117154
AAOI,-0.211189869197814,2019-05-06,-24.052311562515737
AAOI,-0.2070175304747464,2020-01-22,-8.091074267544855
AAOI,-0.2003921807981003,2020-02-13,-7.239382239382239
AAOI,-0.2203765038720973,2020-03-02,-5.127185857921412
AAOI,-0.2439703320582583,2020-05-06,-12.961404031467106
AAOI,-0.2504990133944598,2020-11-05,-23.693545655624668
AAOI,-0.2455501562876266,2021-02-17,-21.768227644729212
AAOI,-0.2379713797255166,2021-10-27,-13.19039460929753
AAOI,-0.2060491796688172,2022-01-04,-9.960459352010972
AAOI,-0.2148014558509899,2022-05-03,-4.7309991134526275
AAOI,-0.2008733303931847,2022-06-07,-3.911186954488518
AAOI,-0.212121248610128,2022-06-22,-3.381725053925681
AAOI,-0.2210144555085445,2022-08-25,-5.253140446256674
AAOI,-0.2473404439138362,2022-09-16,-7.156452208723367
AAOI,-0.2802768691335316,2022-10-26,-5.149679445659613
AAOI,-0.3064516067008694,2023-03-16,-3.481679094585829
AAOI,-0.2007504146604615,2023-07-13,-18.60708648527162
AAOI,-0.2182681003532328,2023-07-25,-14.714610412246085
AAOI,-0.234559828243384,2023-08-30,-26.566591494202843
AAOI,-0.3087844147790911,2023-10-02,-41.07143023966353
