Ticker,Growth,Date,P/E Ratio
A,-0.3222337743169378,2000-04-03,246.80198996699846
A,-0.2643202902356203,2000-05-08,150.5185538976728
A,-0.376318207481374,2000-07-10,128.08103393353028
A,-0.2339999701726598,2001-02-12,140.64614615035967
A,-0.3052185352528104,2003-01-27,-19.683830342747548
A,-0.2050916040049065,2008-09-29,39.881547327060524
AA,-0.2062004803989891,2020-02-24,-8.192559071171777
AA,-0.2733877600796389,2020-03-02,-6.503249454999061
AA,-0.315000042205269,2020-03-09,-4.725340653257735
AA,-0.2324255847361388,2022-04-11,34.14746586983154
AACG,-0.3914634745799306,2008-11-03,3.6804175630103546
AACG,-0.2260870231754656,2009-01-05,1.2303842138561067
AACG,-0.2227979147567995,2010-01-18,-1.1565011383882209
AACG,-0.3640001109543503,2012-06-04,5.630542409611258
AACG,-0.6770833014268945,2018-08-20,-0.32860189465461004
AACG,-0.2267441739579548,2018-09-03,-0.7849938517686228
AACG,-0.2359550922992408,2019-04-15,-8.61012601191211
AACG,-0.3216374615532621,2020-07-13,-3.164322794498469
AACG,-0.307881777738211,2021-04-05,-12.32918294193605
AACG,-0.2469734118840747,2021-07-19,19.741874352012037
AACG,-0.2325581218050005,2021-11-22,-4.096213452274897
AACG,-0.2765151929072643,2022-01-03,-76.08069466582636
AADI,-0.7364706002029718,2019-03-11,-20.277362511530267
AADI,-0.2415384634947165,2019-09-30,-5.682149309400315
AADI,-0.5555555555555556,2020-12-07,-29.662506591668134
AADI,-0.224806208789383,2022-01-10,-32.22032368723785
AADI,-0.2051557720904919,2023-02-27,-17.997294451221148
AADI,-0.5282258273845655,2023-12-04,-8.201058264131898
AAL,-0.2456778164160548,2008-03-03,-37.3898529911764
AAL,-0.4641024804679128,2008-05-12,-5.369392874119882
AAL,-0.3058252635768519,2008-06-02,-2.8361407193270596
AAL,-0.2222221330161522,2008-06-16,-2.1684087075731013
AAL,-0.2262957648491173,2008-09-15,-1.2811319352933013
AAL,-0.291217257439037,2008-09-29,-1.0511435933520819
AAL,-0.2238658067760036,2008-10-27,82.6222791482172
AAL,-0.2719187781555234,2008-11-03,64.12597596902938
AAL,-0.2181499214997199,2008-11-10,46.68891893550045
AAL,-0.2749364566575125,2009-01-19,-5.927667114007527
AAL,-0.3431579795876795,2009-02-09,-3.60056452403414
AAL,-0.2421052855755524,2009-02-23,-2.1603387911008984
AAL,-0.248407540198898,2009-03-09,-2.380162369661453
AAL,-0.2146068678789689,2012-02-13,-2.5668917242900884
AAL,-0.3152408538449873,2020-02-17,29.299631063532615
AAL,-0.2746331369626227,2020-03-09,15.07109048932775
AAL,-0.3311965549262406,2020-03-23,14.786729817644051
AAL,-0.2262499928474426,2020-06-15,-3.041478158384975
AAOI,-0.2263191080446947,2014-11-03,153.3138356943112
AAOI,-0.2673830356406545,2016-04-11,-205.72171254647878
AAOI,-0.2042742815495157,2017-03-27,69.5959364475445
AAOI,-0.3315397466668371,2017-07-24,67.74623160858636
AAOI,-0.2253384805920823,2018-08-27,103.91959952349639
AAOI,-0.2463325511183405,2018-09-17,82.21105834347519
AAOI,-0.2083332875378014,2020-02-17,-6.404723900165337
AAOI,-0.3048919044333704,2020-03-02,-4.990915263373283
AAOI,-0.200196275354144,2020-05-04,-12.252013442807865
AAOI,-0.2418699459623329,2021-02-15,-21.662557574383346
AAOI,-0.2339869202010844,2021-10-25,-13.121784040081359
AAOI,-0.2105262842032465,2022-02-14,-8.228205395517007
AAOI,-0.2420213000369105,2022-09-12,-7.156452208723367
AAOI,-0.2571428717399132,2022-10-24,-4.989308539408917
AAON,-0.2352983410538005,1993-01-25,93.49816292524338
AAON,-0.2261900433404113,1995-04-10,61.22755717082196
AAP,-0.230952318679116,2006-06-19,47.97161293592425
AAP,-0.2661224137645754,2008-09-29,40.965462142493095
AAP,-0.2458720985278404,2012-05-07,43.8918321065873
AAP,-0.3400473461190098,2020-03-09,74.9523440924605
AAP,-0.2086483814874172,2022-11-07,92.44601246563786
AAP,-0.3975924571359753,2023-05-22,152.195502018583
AAPL,-0.2027326894146753,1993-05-31,48.75078070454481
AAPL,-0.2516999052002705,1993-07-05,-18.46335674154347
AAPL,-0.2049416702693122,1998-08-17,62.281202811461235
AAPL,-0.5065876314165498,2000-09-18,79.40592789890789
AAPL,-0.2430601256245806,2008-09-22,86.43058589107505
AAT,-0.3277353976336227,2020-03-09,158.95675839224396
AAT,-0.2029801411800501,2023-02-27,171.85322592191608
AB,-0.2694612953444116,2008-09-29,9.67403159466011
AB,-0.2627120739212853,2008-11-10,6.912862227161997
AB,-0.2081285069096481,2020-03-02,24.445131358696464
AB,-0.2938744566317362,2020-03-09,19.357402667800752
ABAT,-0.2599999745686849,2016-05-02,-2027.0270270270269
ABAT,-0.3243243475450276,2016-05-09,-1500.000051549963
