Price,Close,High,Low,Open,Volume
Ticker,COHR,COHR,COHR,COHR,COHR
Date,,,,,
1987-09-28,0.40625,0.4140630066394806,0.3828130066394806,0.0,2414400
1987-10-05,0.3984380066394806,0.40625,0.3828130066394806,0.0,1395200
1987-10-12,0.3671880066394806,0.3984380066394806,0.34375,0.0,888000
1987-10-19,0.2421880066394806,0.359375,0.21875,0.0,547200
1987-10-26,0.2890630066394806,0.2890630066394806,0.2265630066394806,0.0,609600
1987-11-02,0.2890630066394806,0.3046880066394806,0.28125,0.0,569600
1987-11-09,0.296875,0.3046880066394806,0.28125,0.0,1048000
1987-11-16,0.28125,0.296875,0.265625,0.0,515200
1987-11-23,0.2734380066394806,0.2890630066394806,0.2734380066394806,0.0,188800
1987-11-30,0.2421880066394806,0.265625,0.2421880066394806,0.0,499200
1987-12-07,0.25,0.25,0.2265630066394806,0.0,236800
1987-12-14,0.25,0.265625,0.2265630066394806,0.0,398400
1987-12-21,0.25,0.2578130066394806,0.2421880066394806,0.0,500800
1987-12-28,0.2421880066394806,0.25,0.234375,0.0,278400
1988-01-04,0.265625,0.265625,0.2421880066394806,0.0,396800
1988-01-11,0.28125,0.28125,0.2421880066394806,0.0,268800
1988-01-18,0.265625,0.28125,0.25,0.0,656000
1988-01-25,0.2734380066394806,0.2734380066394806,0.2578130066394806,0.265625,326400
1988-02-01,0.2578130066394806,0.2734380066394806,0.2578130066394806,0.0,187200
1988-02-08,0.265625,0.265625,0.25,0.25,118400
1988-02-15,0.2890630066394806,0.2890630066394806,0.2578130066394806,0.0,216000
1988-02-22,0.3515630066394806,0.359375,0.2734380066394806,0.0,708800
1988-02-29,0.390625,0.3984380066394806,0.359375,0.0,712000
1988-03-07,0.3984380066394806,0.4296880066394806,0.375,0.0,4529600
1988-03-14,0.421875,0.4375,0.40625,0.0,1446400
1988-03-21,0.40625,0.4296880066394806,0.40625,0.0,643200
1988-03-28,0.40625,0.421875,0.40625,0.0,180800
1988-04-04,0.390625,0.4140630066394806,0.390625,0.0,859200
1988-04-11,0.3828130066394806,0.3984380066394806,0.3828130066394806,0.0,241600
1988-04-18,0.359375,0.390625,0.359375,0.0,366400
1988-04-25,0.359375,0.375,0.34375,0.0,104000
1988-05-02,0.3515630066394806,0.359375,0.34375,0.0,499200
1988-05-09,0.359375,0.359375,0.34375,0.0,137600
1988-05-16,0.375,0.390625,0.359375,0.0,1216000
1988-05-23,0.390625,0.390625,0.375,0.0,220800
1988-05-30,0.4140630066394806,0.4140630066394806,0.390625,0.0,179200
1988-06-06,0.421875,0.4296880066394806,0.40625,0.0,355200
1988-06-13,0.4140630066394806,0.4296880066394806,0.40625,0.0,555200
1988-06-20,0.390625,0.40625,0.390625,0.0,267200
1988-06-27,0.3984380066394806,0.40625,0.390625,0.0,424000
1988-07-04,0.4375,0.4453130066394806,0.390625,0.0,860800
1988-07-11,0.4375,0.4375,0.421875,0.0,340800
1988-07-18,0.4375,0.4453130066394806,0.4296880066394806,0.0,505600
1988-07-25,0.453125,0.453125,0.4375,0.0,457600
1988-08-01,0.453125,0.453125,0.4453130066394806,0.0,190400
1988-08-08,0.421875,0.453125,0.421875,0.421875,344000
1988-08-15,0.4453130066394806,0.453125,0.4296880066394806,0.0,960000
1988-08-22,0.4609380066394806,0.4609380066394806,0.4453130066394806,0.0,228800
1988-08-29,0.4765630066394806,0.4765630066394806,0.4453130066394806,0.0,262400
1988-09-05,0.5,0.515625,0.4609380066394806,0.0,982400
1988-09-12,0.5234379768371582,0.5234379768371582,0.4921880066394806,0.0,428800
1988-09-19,0.5234379768371582,0.5234379768371582,0.5078129768371582,0.0,337600
1988-09-26,0.484375,0.5078129768371582,0.484375,0.0,302400
1988-10-03,0.484375,0.5,0.484375,0.0,139200
1988-10-10,0.4609380066394806,0.484375,0.4609380066394806,0.0,344000
1988-10-17,0.5,0.5,0.4609380066394806,0.0,697600
1988-10-24,0.5,0.5,0.4765630066394806,0.0,435200
1988-10-31,0.5078129768371582,0.515625,0.484375,0.5078129768371582,444800
1988-11-07,0.484375,0.515625,0.484375,0.0,328000
1988-11-14,0.484375,0.4921880066394806,0.4765630066394806,0.0,468800
1988-11-21,0.4765630066394806,0.484375,0.46875,0.4765630066394806,312000
