Price,Close,High,Low,Open,Volume
Ticker,CMMB,CMMB,CMMB,CMMB,CMMB
Date,,,,,
2019-02-11,148.8000030517578,184.0,139.52000427246094,184.0,54088
2019-02-18,144.9600067138672,148.8000030517578,139.67999267578125,148.8000030517578,3170
2019-02-25,127.76000213623047,144.16000366210938,117.24800109863281,144.16000366210938,5851
2019-03-04,123.44000244140625,129.75999450683594,120.63999938964844,129.60000610351562,4544
2019-03-11,111.83999633789062,126.78399658203125,104.4800033569336,126.4000015258789,5433
2019-03-18,111.36000061035156,115.19999694824219,106.87999725341797,111.68000030517578,4444
2019-03-25,108.72000122070312,119.36000061035156,103.2959976196289,112.80000305175781,8214
2019-04-01,104.0,115.19999694824219,93.5999984741211,110.72000122070312,2714
2019-04-08,100.80000305175781,109.91999816894531,100.63999938964844,109.91999816894531,2826
2019-04-15,97.5999984741211,107.50399780273438,92.80000305175781,100.80000305175781,2776
2019-04-22,93.76000213623047,100.16000366210938,90.75199890136719,92.95999908447266,1045
2019-04-29,91.68000030517578,106.59200286865234,89.5999984741211,97.44000244140625,939
2019-05-06,88.63999938964844,95.19999694824219,88.31999969482422,91.68000030517578,476
2019-05-13,84.65599822998047,91.19999694824219,84.65599822998047,88.63999938964844,1269
2019-05-20,79.19999694824219,89.08799743652344,78.55999755859375,85.24800109863281,819
2019-05-27,80.0,83.19999694824219,71.91999816894531,78.4000015258789,2944
2019-06-03,73.44000244140625,80.0,67.53600311279297,75.0719985961914,1157
2019-06-10,68.0,75.36000061035156,60.31999969482422,71.76000213623047,2307
2019-06-17,72.0,78.4000015258789,65.44000244140625,68.31999969482422,1013
2019-06-24,71.68000030517578,75.5199966430664,61.599998474121094,67.04000091552734,1025
2019-07-01,71.23200225830078,72.80000305175781,61.63199996948242,72.80000305175781,489
2019-07-08,74.23999786376953,75.83999633789062,67.19999694824219,71.23200225830078,1619
2019-07-15,68.0,74.23999786376953,64.63999938964844,74.23999786376953,594
2019-07-22,57.279998779296875,72.4800033569336,52.47999954223633,69.5999984741211,6263
2019-07-29,51.040000915527344,55.88800048828125,43.68000030517578,55.88800048828125,14464
2019-08-05,43.52000045776367,53.279998779296875,40.4640007019043,50.400001525878906,10108
2019-08-12,37.91999816894531,47.98400115966797,34.400001525878906,43.68000030517578,8925
2019-08-19,37.91999816894531,41.279998779296875,33.36000061035156,36.79999923706055,8201
2019-08-26,39.52000045776367,41.055999755859375,32.9119987487793,36.79999923706055,12144
2019-09-02,39.52000045776367,41.439998626708984,32.79999923706055,40.959999084472656,26119
2019-09-09,40.47999954223633,45.071998596191406,34.880001068115234,39.36000061035156,25257
2019-09-16,40.720001220703125,41.91999816894531,34.880001068115234,39.040000915527344,9413
2019-09-23,36.79999923706055,48.0,36.47999954223633,41.439998626708984,21807
2019-09-30,34.560001373291016,37.7599983215332,34.560001373291016,35.85599899291992,2012
2019-10-07,35.7760009765625,36.63999938964844,33.91999816894531,34.400001525878906,9225
2019-10-14,36.47999954223633,39.36000061035156,32.79999923706055,34.560001373291016,10468
2019-10-21,37.439998626708984,37.439998626708984,32.959999084472656,36.63999938964844,5269
2019-10-28,39.68000030517578,39.84000015258789,35.13600158691406,36.63999938964844,6263
2019-11-04,37.91999816894531,39.68000030517578,35.36000061035156,39.52000045776367,4651
2019-11-11,30.719999313354492,38.86399841308594,20.479999542236328,37.119998931884766,23595
2019-11-18,21.920000076293945,28.31999969482422,20.0,28.31999969482422,9413
2019-11-25,22.559999465942383,23.520000457763672,19.823999404907227,22.31999969482422,3244
